review_status,suggested_label,review_note,ml_sequence_index,round_no,question_no,problem_id,actual_label,predicted_label,era,original_topic,topic_train,question_type,question_subtype,core_concept,text_preview,is_correct
,,,642,59,42,cj_v41_0608,사건,인물,일제 강점기,사건,사건,역사 탐구의 설계 및 수행,탐구 주제·활동 선정,가) 지역이 제주도,"역사를 품은 섬, (가) 다크 투어를 떠나볼까요? 답사 경로: 항파두리 항몽 유적 - 알뜨르 비행장 비행기 격납고 - 송악산 해안 동굴 진지 - 셋알 오름 일제 고사포 진지 일시: 매월 첫째 주 토요일 10시 출발 장소: 관덕정 앞 광장 유의 사항: 마스크, 도시락 지참 필수 ※ 다크 투어: 전쟁이나 테러, 인종 말살, 재난처럼 비극적인 역사의 현장을 방문하여 반성과 교훈을 얻는 여행. 역사 교훈 여행이라고 함. (가) 지역에 대한 탐구 활동으로 가장 적절...",False
,,,653,60,3,cj_v41_0619,문화,정치,선사 시대,문화,문화,역사 자료의 분석 및 해석,자료 기반 시대·대상 추론,수로왕,"국가문화유산포털 문화유산 검색: 김해 양동리 고분군 수로왕이 건국했다고 전해지는 (가)의 유적이다. 발굴 조사 결과 널무덤, 독무덤 등 600여 기의 유구와 토기, 청동기, 철기 등 5,200여 점에 이르는 유물이 출토되었다. (가) 나라에 대한 설명으로 옳은 것은? [키워드] 수로왕 청동기 널무덤 독무덤 철기 [Core Concept] 수로왕",False
,,,686,60,36,cj_v41_0651,사건,정치,개항기,사건,사건,역사 지식의 이해,기본 사실·개념 확인,전차,"제△△호 역사 신문 0000년 00월 00일 전차 운행 중 사망 사고 발생 오늘 종로 거리를 달리던 전차에 다섯 살 난 아이가 치여 죽는 사고가 발생하였다. 이를 목격한 사람들이 격노하여 전차를 부수 있고, 이어 달려오던 전차까지 전복시켜 파괴하고 기름을 뿌려 불태웠다. 동대문에서 성대한 개통식을 열고 전치를 운행한 지 한 달도 되지 않아 참혹한 사건이 발생한 것이다. 다음 기사가 보도된 이후의 사실로 옳은 것은? [키워드] 전차 사신 사건 [Core Co...",False
,,,694,60,44,cj_v41_0659,사건,제도,초기 국가,사건,사건,역사 자료의 분석 및 해석,자료 기반 시대·대상 추론,현행,오늘의 헌법은 그 개정의 발의권이 사실상 대통령에게만 속해 있는 것이다. 이에 우리 국민은 이와 같이 헌법 개정 발의권으로부터의 소외를 극복하고 우리들의 천부의 권리를 제시하는 방법으로 대통령에게 현행 헌법의 개정을 요구하는 100만인 청원 운들을 전개하는 비이다. 장준하 '현행 헌법'에 대한 설명으로 옳은 것은? [키워드] 현행 [Core Concept] 현행,False
,,,700,60,50,cj_v41_0665,정치,문화,조선,사회,정치,역사 자료의 분석 및 해석,자료 기반 시대·대상 추론,칠석,이곳은 남원 광한루원의 오작교이다. 조선 시대 남원 부사 장의국이 헤어져 있던 견우와 직녀가 오작교에서 만난다는 전설을 형상화하여 만들었습니다. 음력 7월 7일인 이날에는 여인들이 별을 보며 바느질 솜씨가 좋아지기를 비는 풍속이 있었다. '이날'에 해당하는 세시풍속으로 옳은 것은? [키워드] 조선 풍속 [Core Concept] 칠석,False
,,,712,61,12,cj_v41_0677,인물,사건,고려,인물,인물,연대기의 파악,연표·흐름 빈칸,천도,"문학으로 만나는 한국사 비 개인 긴 언덕에는 풀빛이 푸른데 남포에서 님 보내며 슬픈 노래 부르네 대동강 물은 그 언제 다할 것인가 이별의 눈물 해마다 푸른 물결에 더하는 것을 이 시의 제목은 '송인'이고, 고려 시대의 문인 정지상이 서경을 배경으로 지은 작품이다. 서경 출신인 그는 묘청 등과 함께 수도를 서경으로 옮길 것을 주장하였다. '이 사건'이 일어난 시기를 연표에서 옳게 고른 것은? [키워드] 고려 사비 묘청 문학 사건 [Core Concept] 천도",False
,,,713,61,13,cj_v41_0678,정치,사건,고려,외교,정치,연대기의 파악,전후 시기 판단,최충헌,"(가) 최충헌 형제가 왕을 협박하여 창락궁에 유폐하고 태자 왕숙은 강화도로 유배 보냈다. (나) 유경이 최의를 죽인 뒤 왕에게 아뢰어 정방을 편전 옆에 두어 인사권을 장악하고, 국가의 주요 사무를 모두 결정하였다. (가), (나) 사이의 시기에 있었던 사실로 옳은 것은? [키워드] 최충헌 정방 강화 [Core Concept] 최충헌",False
,,,723,61,23,cj_v41_0686,사건,정치,조선,사건,사건,연대기의 파악,사건·자료 순서 배열,백성,"(가) 임금이 궐내에 있던 기름 먹인 장막을 허적이 벌써 가져갔음을 듣고 노하여 이르기를, ""궐내에서 쓰는 것을 마음대로 가져가는 것은 한명회도 못하던 짓이다.""라고 하였다. …… 임금이 허적의 당파가 많아 기세가 당당하다는 말을 듣고 그들을 제거하고자 결심하였다. (나) 비망기를 내려, ""국운이 안정되어 왕비가 복위하였으니, 백성에게 두 임금이 없는 것은 고금을 통한 의리이다. 장씨의 왕후 지위를 거두고 옛 작호인 희빈을 내려 주되, 세자가 조석으로 문안...",False
,,,761,62,11,cj_v41_0721,정치,제도,고려,정치,정치,역사 자료의 분석 및 해석,자료 기반 시대·대상 추론,여진족,"함길도 도절제사 김종서에게 전지하기를, “동북 지역의 경계는 공험진(公嶮鎭)으로 삼았다는 말이 전하여 온 지가 오래다. 그러나 정확하게 어느 곳에 있는지 알지 못한다. … 고려사에 이르기를, '윤관이 공험진에 비를 세워 경계를 삼았다.'고 하였다. 지금 듣건대 선춘점(先春岾)에 윤관이 세운 비가 있다 하는데, 공험진이 선춘점의 어느 쪽에 있는가. 그 비문을 사람을 시켜 찾아볼 수 있겠는가. 윤관이 (가) 을/를 쫓고 9성을 설치하였는데, 그 성이 지금 어느...",False
,,,805,63,5,cj_v41_0764,정치,문화,삼국 시대,사회,정치,역사 자료의 분석 및 해석,자료 기반 시대·대상 추론,가 통일신라,"촌락 문서 1 0 소장처: 일본 도다이사 쇼소인 0 소개 이 문서는 조세 수취와 노동력 동원에 활용할 목적으로 작성된 것이다. 여기에는 -의 5소경 중 하나인 서원경 부근 4개 ' 촌락의 인구 현황. 토지의 종류와 면적, 뽕나무와 잣나무 수. 소와 말의 수 등을 3년마다 조사한 내용이 상세히 기재되어 있다. 해외 소재 우리나라 문화유산 카드 (0 (가) 국가의 경제 상황으로 옳은 것은? [키워드] 서원 토지 수취 경제 조세 [Core Concept] 가 통일신라",False
,,,823,63,23,cj_v41_0780,사건,제도,조선,사건,사건,연대기의 파악,전후 시기 판단,이조전랑,"(가) 처음에 심의겸이 외척으로 권세를 부리니 당시 명망 있는 사람들이 섬겨 따랐다. 그런데 김효원이 전랑(銓郞)이 되어 그들을 배척하자 심의겸의 무리가 그를 미워하니, 점차 사림이 나뉘어 동인과 서인이라는 말이 나오게 되었다. (나) 기해년에 왕이 승하하자 재신 송시열이 사종(四種)의 설을 인용하여 ""대행 대왕은 왕대비에게 서자가 된다. 왕통을 이었으나 장자가 아닌 경우이니 기년복(朞年服)*을 입어야 마땅하다.""라고 하였다. 이에 대해 허목 등 신하들은 ...",False
,,,841,63,41,cj_v41_0798,인물,정치,현대,인물,인물,역사 자료의 분석 및 해석,자료 기반 시대·대상 추론,구성된 제헌국회에 대한 설명,이 우표는 우리나라 최초로 실시된 충선거를 기념하기 위해 발행되었다. 보동 직접 평등- 비일 선거 원칙에 따라 치른 이 선거를 통해 구성된 국회에서 활동한 의원의 임기는 2년이었습니다. '국회'에 대한 설명으로 옳지 않은 것은? [키워드] 활동 [Core Concept] 구성된 제헌국회에 대한 설명,False
,,,851,64,1,cj_v41_0806,사건,정치,선사 시대,사건,사건,역사 자료의 분석 및 해석,자료 기반 시대·대상 추론,현종,"화면 속 갈돌과 갈판, 빗살무늬 토기는 이 시대의 대표적인 유물로 알려져 있다. 농경과 정착 생활이 시작된 이 시대의 사람들은 토기릌 만들어 곡식을 저장하고 음식을 조리하기도 하였다. '이 시대'의 생활 모습으로 옳은 것은? [키워드] 빗살무늬토기 [Core Concept] 현종",False
,,,858,64,8,cj_v41_0812,정치,문화,삼국 시대,정치,정치,역사 자료의 분석 및 해석,자료 기반 시대·대상 추론,가 발해,"이 지도는 (가) 의 전성기 영역을 나타낸 것이다. 이 국가에서는 각지에서 말이 사육되었는데, 그중에서도 솔빈부의 말은 당에 수출될 정도로 유명하였다. 특히, 고구려 유민 출신으로 산둥 반도 지역을 장악하였던 이정기 세력에게 많은 말을 수출하였다. 0 (가) 1경^ 4 4 0 (가) 국가의 경제 상황으로 옳은 것은? [키워드] 고구려 경제 지도 [Core Concept] 가 발해",False
,,,873,64,23,cj_v41_0826,인물,정치,조선,인물,인물,역사 자료의 분석 및 해석,자료 기반 시대·대상 추론,중종,[역사 다큐멘터리 기획안] 回 기획 의도 00의 즉위와 집권 시기를 다큐멘터리로 제작하여 훈구와 사림의 대립 등 나라 안팎으로 혼란스러웠던 당시 상황을 살펴본다. 回 구성 내용 #1. 반정(反正)으로 연산군이 페위되고 00이/가 즉위하다 #2 삼포에서 왜인들이 난을 일으키다 (가) (가)에 들어갈 내용으로 가장 적절한 것은? [키워드] 연산군 즉위 [Core Concept] 중종,False
,,,884,64,34,cj_v41_0837,인물,사건,개항기,인물,인물,역사 자료의 분석 및 해석,시각 자료 해석,대한매일신보,경천사지 십층 석탑에 대한 일본인의 약탈 행위에 관해 보도한 (가) 기사를 읽어 보았는가? 내용을 접한 헐버트가 사건 현장을 방문하여 사진을 촬영하고 목격자 의견을 청취했다더군 (가) 신문에 대한 설명으로 옳은 것은? [키워드] 사건 [Core Concept] 대한매일신보,False
,,,892,64,42,cj_v41_0845,정치,사건,현대,정치,정치,연대기의 파악,전후 시기 판단,이승만,신문을 보니 며칠 전 정읍에서 이승만이 단독 정부 수립을 시사하는 발언을 했다네. 한국 독립당에서는 단독 정부 수립은 안 된다고 했다더군. 우리 미국은 신탁 통치에 반대하는 단체를 배제하자는 소련의 주장은 제1차 미소 공동 위원회 때와 같습니다. (가) 시기에 있었던 사실로 옳은 것은? [키워드] 이승만 한국 독립당 신탁통치 통치 [Core Concept] 이승만,False
,,,893,64,43,cj_v41_0846,사건,제도,남북국 시대,사건,사건,역사 자료의 분석 및 해석,자료 기반 시대·대상 추론,갑오개혁,"(가) 완산주를 다시 설치하고 용원을 총관으로 삼았다. 거열주를 빼서 청주(菁 州)를 두니 처음으로 9주가 되었다. 대아찬 복서를 총관으로 심았다. (나)현종견에 절도사를 폐지하고, 5도호와 75도 안무사를 두었으나, 얼마 후 안무시를 폐지하고, 4도호와 8목을 두었다. 그 이후로 5도-양계를 정하니, 양광 경상-전라-교주 서해 동계 북계가그것이다. (다각 도 각 고을의 이름을 고쳤다. --- 드디어 완산을 다시 '전주라고 칭하고, 계림을 다시 경주라고 칭...",False
,,,909,65,9,cj_v41_0861,인물,정치,남북국 시대,인물,인물,연대기의 파악,전후 시기 판단,말기,이 유물에는 민애왕을 추모6는 명문이 있다. 그는 혜공왕 피살 이후 왕위 쟁탈전이 치열했던 시기에 회강왕을 축출하고 왕이 되었으나. 다른 진골 세력에 의해 1년 만에 제거되었다. 전(傳) 대구 동화사 비로암 상충 석탑 납석사리호 '시기'에 볼 수 있는 모습으로 적절한 것은? [키워드] 혜공왕 사비 왕위 [Core Concept] 말기,False
,,,915,65,15,cj_v41_0867,제도,정치,고려,제도,제도,연대기의 파악,전후 시기 판단,시기가 고려 원 간섭기,기절의 친척 기삼만이 권세를 믿고 불법으로 남의 토지를 빼앗 았기에 정치도감에서 그를 잡아 장(것)을 치고 하옥하였는데 20여 일 만에 죽었다. ------ 그러자 정동행성 이문소에서 정치도감 관리들을 잡아 가두었다. 다음 상황이 나타난 시기에 볼 수 있는 모습으로 적절한 것은? [키워드] 토지 [Core Concept] 시기가 고려 원 간섭기,False
,,,921,65,21,cj_v41_0872,인물,사건,조선,인물,인물,역사 지식의 이해,기본 사실·개념 확인,단종의 폐위,"교지를 내려 이르기를, “전날 성삼문 등이 상왕(그)도 그 모의에 참여하였다고 인정하자, 백관들이 상왕도 종사(宗社)에 죄를 지었으니 편안히 도성에 거주하는 것은 미땅치 않다고 하였디. 상왕을 노산군(魯山君)으로 낮추고, 궁에서 내보내 영월에 거주 시 기도록 하라. ”라고 하였다. 다음 상황이 전개된 배경으로 옳은 것은? [키워드] 단종의 폐위 [Core Concept] 단종의 폐위",False
,,,928,65,28,cj_v41_0878,정치,문화,조선,사회,정치,연대기의 파악,전후 시기 판단,조선 후기의 사회적,범 나려온다수 범이 나려온다 송림 김은 골로 한김생이 내려온다 수 내가 준비한 것은 편소리 수궁가에서 호랑이가 내려오는 장면이야. 한글 소설과 함께 판소리는 이 시기에 유행했지. 판소리는 신재효에 의해서 체계적으로 정리되었다. '이 시기'에 볼 수 있는 모습으로 적절하지 않은 것은? [키워드] 조선 후기의 사회적 [Core Concept] 조선 후기의 사회적,False
,,,937,65,37,cj_v41_0887,정치,문화,개항기,정치,정치,역사 자료의 분석 및 해석,자료 기반 시대·대상 추론,중명전,답사 계획서 回 주제: 근대 역사의 현장을 찾아서 기간. 2023년 00월 00일1 10:00~16:00 경로. 기기창- 제중원 터 -박문국 터 -중명전 -수 원각사 터 (가) 기기창 경복궁 사직단 (마) 원각사 터 경회궁 덕수궁 (라》 중명전 숭례문 창경궁 (나) 저조 터 창덕궁 운현궁 종묘 청계천 (다) 박문국 터 (가)~(마)에 대한 설명으로 옳은 것은? [키워드] 중명전 경복궁 묘청 [Core Concept] 중명전,False
,,,939,65,39,cj_v41_0889,정치,제도,고려,정치,정치,역사 탐구의 설계 및 수행,탐구 주제·활동 선정,교육입국조서,"역사 돋보기 한국 교육의 역사 삼국 시대에는 ㉠국가가 운영하는 기관을 통해 제도적인 교육이 이루어졌다. 이때 교재는 유학 경전과 역사서가 중심이었다. 고려 시대에 와서 과거제가 실시되었다. 조상의 음덕을 입은 관직 진출도 있었지만, 과거에 합격하는 것을 영예롭게 여기기도 하였다. 이 과정에서 관학인 국자감 못지 않게 사학 역시 중요한 역할을 하였다. 조선 시대의 교육 기관은 ㉢관학으로 성균관·향교 등이 있었고, 사학으로 서원 등이 있었다. 국가는 교육을 통...",False
,,,949,65,49,cj_v41_0899,사건,문화,삼국 시대,사건,사건,역사 탐구의 설계 및 수행,탐구 주제·활동 선정,모두 전주 지역의 대표적인 유적지,"지도로 보는 우리 지역의 역사 1 '1즈心 ,띤 풍패지관 전라 감영 성황사 石0工 1872년에 제작된 우리 ,월 지역 지도의 일부이다. 조선 시대 전라도 일대를 총괄하는 전라 감영, 조선 왕실의 발상지라는 의미로 한(漢) 고조의 고사에서 ! - 이름을 딴 객사 풍패지관, 태조 이성계의 어진을 봉안하고 제사하는 경기전 후백제의 왕성으로 알려진 동고산성 안에 있는 성황사 “ 등이 표시되어 있다. 다음 지역에 대한 탐구 활동으로 적절한 것은? [키워드] 후백제 ...",False
,,,963,66,13,cj_v41_0912,인물,정치,고려,인물,인물,역사 자료의 분석 및 해석,자료 기반 시대·대상 추론,송문주,"강화중성은 (가)의 침략에 맞서 고려가 강화도로 천도한 이후 건립한 내성, 중성, 외성 중 하나이다. 강화중성은 당시 수도를 둘러싼 토성(土城)으로, 이번 발굴 조사에서 방어를 위해 성벽의 바깥에 돌출시킨 대규모 치성(雉城)이 확인되었다. 〈보기〉 ㄱ. 양규가 무로대에서 적군을 물리쳤다. ㄴ. 김윤후가 충주성 전투에서 활약하였다. ㄷ. 송문주가 죽주성에서 적군을 격퇴하였다. ㄹ. 윤관이 별무반을 이끌고 동북 9성을 쌓았다. (가)의 침입에 대한 고려의 대응...",False
,,,969,66,19,cj_v41_0917,제도,인물,조선,제도,제도,역사 자료의 분석 및 해석,자료 기반 시대·대상 추론,세종,"이전에 주조한 활자가 크고 고르지 않았다. 이에 왕께서 경자년에 다시 주조하셨다. 그리하여 그 모양이 작고 바르게 되었으니, 이것으로 인쇄하지 않은 책이 없었다. 이를 경자자라고 하였다. 갑인년에 다시 위선음쯛( ) 의 글자 모양을 본떠 갑인자를 주조하니, 경자자에 비하여 조금 크고 활자 모양이 매우 좋았다. '왕'의 업적으로 옳은 것은? [키워드] 업적 [Core Concept] 세종",False
,,,984,66,34,cj_v41_0931,사건,제도,개항기,사건,사건,역사 지식의 이해,기본 사실·개념 확인,광무개혁,"〈원수부 관제〉 대황제 폐하는 대원수로서 군기(軍機)를 총람하고 육해군을 통령하며, 황태자 전하는 원수로서 육해군을 일률적으로 통솔한다. 이에 원수부를 설치한다. 제1조 원수-부는 국방과 용병(用兵)과 군사에 관한 각 항의 명령을 관장하며 특별히 세운 권한을 가지고 군부와 다음 관제가 반포된 이후의 사실로 옳은 것은? [키워드] 원수부 군사 관제 [Core Concept] 광무개혁",False
,,,996,66,46,cj_v41_0943,문화,정치,현대,문화,문화,연대기의 파악,연표·흐름 빈칸,위기,정부는 최근 겪고 있는 금융·외환 시장의 어려움을 극복하기 위해 국제 통화 기금에 지원을 요청하기로 결정하였다. 유동성 부족 상태가 조속한 시일 안에 해결될 것으로 기대합니다. 정부는 국제 통화 기금과 참여국의 지원과 함께 원활한 외화 조달을 위한 다각적인 대책을 적극 추진해 나갈 계획이다. 다음 발표가 있었던 시기를 연표에서 옳게 고른 것은? [키워드] 위기 [Core Concept] 위기,False
,,,1008,67,8,cj_v41_0954,인물,사건,삼국 시대,인물,인물,역사 자료의 분석 및 해석,자료 기반 시대·대상 추론,(통일) 신라 하대의 왕위 쟁탈전,"이찬 김지정이 반역하여 무리를 모아 궁궐을 에워싸고 침범하였다. 여름 4월에 상대등 김양상이 이찬 경신과 함께 군사를 일으켜 김지정 등을 죽였으나, 왕과 왕비는 반란군에게 실해되었다. 양상 등이 왕의 시호를 혜공왕이라 하였다. - 삼국사기 다음 상황 이후에 전개된 사실로 옳은 것은? [키워드] 삼국사기 혜공왕 이이 반란 군사 [Core Concept] (통일) 신라 하대의 왕위 쟁탈전",False
,,,1029,67,29,cj_v41_0975,정치,사건,개항기,외교,정치,역사 자료의 분석 및 해석,자료 기반 시대·대상 추론,신미양요,이 척화비는 자연석에 비문을 새긴 것이 특징이다. 척화비는 제너럴 셔먼호 사건을 구실로 일어난 (가) 이후 전국 각지에 세워졌습니다. 이 를 통해 서양 세력과의 통상 수교를 거부한 역사의 한 장면을 엿볼 수 있다 (가) 사건에 대한 설명으로 옳은 것은? [키워드] 제너럴셔먼호 척화비 통상 수교 사건 [Core Concept] 신미양요,False
,,,1048,67,48,cj_v41_0994,정치,인물,조선,경제,정치,역사 자료의 분석 및 해석,보기 조합 판단,노비 해방사를 활용한 탐구 활동,〈보 기〉 기. (가) - 무신 집권기에 발생한 하층민의 봉기에 대해 알아본다. ㄴ. (나) - 호족의 경제적 기반을 약화시킨 제도를 살펴본다. ㄷ. (다) - 균역법이 시행되는 배경을 파악한다. 권. (라) - 삼정이정청이 설치된 계기를 조사한다. (가)~(라)를 활용한 탐구 활동으로 적절한 것을 ＜보기＞에 서 고른 것은? [키워드] 균역법 경제 봉기 활동 제도 [Core Concept] 노비 해방사를 활용한 탐구 활동,False
,,,1062,68,12,cj_v41_1008,정치,제도,고려,정치,정치,역사 자료의 분석 및 해석,자료 기반 시대·대상 추론,고려의 지방 통치 체제,"고지도와 항공 사진을 통해 본 혜음원지 개경으로 가 는 주요 길목인 혜음령에 세워졌던 혜음원에는 행인의 안전한 통행을 위한 숙소와 사원이 있었다 혜음원지를 통해 개경 외에 남경, 동경 등이 설치되었던 (가) 시대 원(院)*의 모습 을 유추할 수 있다 (가) 시대의 지방 통치 체제에 대한 설명으로 옳은 것은? [키워드] 통치 지도 [Core Concept] 고려의 지방 통치 체제",False
,,,1067,68,17,cj_v41_1013,정치,문화,고려,정치,정치,역사 자료의 분석 및 해석,자료 기반 시대·대상 추론,직지심체요절,2023년 프랑스 국립 도서관에서 열린 인쇄하다! 구텐베르크의 유럽전에서 (가)이/가 공개되었다 1973년 동양의 보물전 이후 50년 만에 대중에게 전시되었다는 점에서 의미가 있다 승려 백운이 편찬한 불서로 제자들이 1377년 청주 흥덕사에서 인쇄하였다. 현재 하권만 프랑스에 남아 있다 (가) 문화유산에 대한 설명으로 옳은 것은? [키워드] 직지심체요절 [Core Concept] 직지심체요절,False
,,,1072,68,22,cj_v41_1018,정치,인물,조선,정치,정치,역사 자료의 분석 및 해석,자료 기반 시대·대상 추론,조선 세종 대의 사실,"조선, 전국적인 규모의 여론 조사를 실시하다! 여론 조사를 통해 정책을 추진하려는 왕의 모습에서 민본의 의미를 생각해본다 #1. 왕은 관리와 백성을 대상으로 공법 시행에 대 한 전국적인 찬반 조사를 명하다 #2. 호조에서 찬성 98,657명, 반대 74,149명이라는 결과를 보고하다 #3. 여러 차례 보완을 거쳐 토지의 비옥도와 풍흉에 따라 조세를 차등 징수하는 내용의 공법을 확정하다 밑줄 그은 '왕'의 재위 기간에 있었던 사실로 옳은 것은? [키워드] 조...",False
,,,1076,68,26,cj_v41_1022,정치,인물,조선,정치,정치,연대기의 파악,연표·흐름 빈칸,기해예송(1차 예송),송준길이 아뢰었다. 적처(嫡妻) 소생이라도 둘째부 터는 서자이다. ······ 둘째 아들은 비록 왕통을 계승하였더라도 (그를 위해서는) 3년 복을 입어서는 안 됩니다 허목이 상소하였다. 장자를 위해 3년 복을 입는다는 것은 위로 쳐서 정체(正體)이기 때문이다. ······ 첫째 아들이 죽어서 적처 소생의 둘째를 세우는 것도 역시 장자라고 부릅니다 을 주장 한 것을 가리킨다 . 이를 통하여 주어진 자료는 인 조의 계비인 자의 대비(1624~ 의 복상 문제로 ...,False
,,,1090,68,40,cj_v41_1036,정치,사건,일제 강점기,군사,정치,역사 자료의 분석 및 해석,자료 기반 시대·대상 추론,북로 군정서군,(가) 훈련 교본 최해*가 직접 쓴 독립군 교본으로 강령·총칙·도수·집총 등의 내용이 실려 있다 최해는 1915년 신흥 강습소(신흥 무관 학교)를 졸업하였다. 그는 김좌 진이 지휘하는 (가)의 여단장이 되어 청산리 전투에 참가하였다 (가) 부대에 대한 설명으로 옳은 것은? [키워드] 신흥무관학교 청산리전투 독립군 김좌진 청산리 전투 [Core Concept] 북로 군정서군,False
,,,1094,68,44,cj_v41_1040,정치,사건,현대,정치,정치,역사 자료의 분석 및 해석,자료 기반 시대·대상 추론,4·19 혁명,이것은 1959년 이승만의 84세 생일을 기념하는 대통령 탄신 경축식 사진이다 이러한 행사는 1949년부터 진 행되었다. 이승만 대통령의 장기 독재는 3·15 부정 선거에 항거하며 일어난 (가)(으)로 결국 종말을 고했다 는 1960년 4월에 발생한 을 가리킴을 알 수 있다. 4·19 혁명은 이승만 정부를 몰락시키고 장면 내각*이 출범하는 배경이 되었다. *장면 내각: 허정 과도 정부의 주도하에 개정된 제3차 개헌에 따라 내각책임제 의 정부 형태로 출범한 ...,False
,,,1114,69,14,cj_v41_1059,정치,사건,고려,정치,정치,역사 자료의 분석 및 해석,자료 기반 시대·대상 추론,무신 집권기 하층민의 반란,남쪽에서 도적들이 봉기하였다. 가장 심한 자들은 운 문을 거점으로 한 김사미와 초전을 거점으로 한 효심이었다. 이들은 유랑민을 불러 모아 주현을 습격하여 노략질하였다 원율 사람인 이연년이 백적도원수라 자칭하며 많 은 사람을 불러 모아 여러 주군을 공격하여 노략질하니 최린이 지휘 사 김경손과 함께 그들을 격파하였다 백적(百賊)의 난 다음 자료를 활용한 탐구 활동으로 가장 적절한 것은? [키워드] 봉기 활동 [Core Concept] 무신 집권기 하층민의 반란,False
,,,1119,69,19,cj_v41_1064,정치,제도,조선,경제,정치,역사 자료의 분석 및 해석,자료 기반 시대·대상 추론,균역법,"양역의 편중이 실로 양민에게 큰 폐단이 되었다. 전하께서 이를 불쌍하게 여겨 2필의 역을 특별히 1필로 감하였으니, 이는 천지와 같은 큰 은덕이다. 그러나 이미 포를 감하였으니 마땅히 그 대신할 것을 보충해야 하나 나라의 재원은 한정되어 있다. 밑줄 그은 '대책'에 대한 탐구 활동으로 가장 적절한 것은? [키워드] 활동 [Core Concept] 균역법",False
,,,1150,69,50,cj_v41_1094,인물,정치,조선,인물,인물,역사 자료의 분석 및 해석,자료 기반 시대·대상 추론,김영삼 정부 시기의 사실,오늘 수방사령관과 특전사령관이 해임되었다 지난달 육군참모총장과 기무사령관이 교체된 이 후 불과 한 달여 만에 단행된 인사 조치이다. 군 내부의 사조 직을 해체하려는 문민정부의 의지가 반영된 것으로 보이다 를 숙청하기 시작 한 것은 김영삼 정부 출범 초인 1993년 3월의 일이다(김영삼 대 통령이 권영해 국방부 장관과 함께 숙청 주도). 이때 하나회 출 신인 김진영 육군참모총장과 서완수 기무사령관이 전격 보직 해 임되고 비하나회 출신이 임명되었다. 이후 4월...,False
,,,1153,70,3,cj_v41_1097,정치,사건,삼국 시대,외교,정치,역사 자료의 분석 및 해석,자료 기반 시대·대상 추론,나제 동맹 강화,"왕이 문주에게 일러 말하기를, “내가 어리석고 밝지 못하여 간사한 사람[도림]의 말을 믿어 이 지경이 되었다. …… 나는 마땅히 사직에서 죽겠지만, 네가 이곳에서 함께 죽는 것은 이로울 게 없다. 어찌 난을 피하여 나라의 계통을 잇지 않겠는가?”라고 하였다. …… 고구려의 대로 제우·재증걸루·고이만년 등이 북성을 공격하여 7일 만에 빼앗았다. 이동하여 남성을 공격하니 성 안 사람들이 두려워하였다. 왕이 성을 나와 도망하자, 고구려 장수 재증걸루 등이 왕을 ...",False
,,,1159,70,9,cj_v41_1103,인물,정치,삼국 시대,인물,인물,연대기의 파악,연표·흐름 빈칸,신라 원성왕 즉위,"각간 김경신이 해몽을 청하자 아찬 여삼은 “복두를 벗은 것은 위에 다른 사람이 없다는 뜻이요, 소립을 쓴 것은 면류관을 쓸 징조이며, 12현금(絃琴)을 든 것은 12대손까지 왕위를 전한다는 조짐이며, 천관사 우물로 들어간 것은 궁궐로 들어갈 상서로운 조짐이다.”라고 하였다. “위에 주원이 있는데 어찌 내가 왕위에 오를 수 있겠소?”라고 경신이 묻자, 아찬이 대답하기를 “청컨대 은밀히 북천신에게 제사 지내면 될 것이다.”라고 하여 이에 따랐다. 얼마 지나지 ...",False
,,,1160,70,10,cj_v41_1104,사건,정치,삼국 시대,사건,사건,역사 자료의 분석 및 해석,자료 기반 시대·대상 추론,고려의 후삼국 통일,"한국사 동영상 제작 계획안 다시 하나로, 민족의 재통일을 이루다 ◯ 학년 ◯ 반 ◯ 모둠 ▣ 제 작 의도 고려의 후삼국 통일 과정과 역사적 의의를 주요 인물과 관련된 사건의 발생 순서에 따라 살펴본다. ▣ 장면별 구성 내용 #1. 신숭겸, 공산 전투에서 전사하다 #2. 왕건, 고창 전투에서 후백제군을 물리치다 #3. 견훤, 금산사에서 탈출하여 고려에 귀순하다 #4. (가) #5. 왕건, 일리천에서 신검의 군대에 승리하다 (가)에 들어갈 내용으로 적절한 것은...",False
,,,1167,70,17,cj_v41_1111,정치,인물,조선,정치,정치,역사 자료의 분석 및 해석,자료 기반 시대·대상 추론,조선 태종(사건원 독립),"오늘 말씀해 주실 이 문서에는 두 차례에 걸친 왕자의 난으로 즉위한 삼공신회맹문에는 (가) 이/가 삼공신들과 함께 종묘사직 및 산천에 어떤 내용이 담겨 제를 올려 충의와 신의를 맹세한 내용이 기록되어 있나요? 있다. 삼공신은 개국공신, 제1차 왕자의 난에서 공을 세운 정사공신, 제2차 왕자의 난을 평정하는 데 도움을 준 좌명공신을 말합니다. 개국정사좌명삼공신회맹문 (가) 왕에 대한 설명으로 옳은 것은? [키워드] 즉위 [Core Concept] 조선 태종(...",False
